,fragment,width,r,g,b
0,RPf_00004.png,8,63.30692727,38.90960391,25.48341693
1,RPf_00006.png,8,41.23520855,24.60380103,18.23103437
2,RPf_00008.png,41,64.43370382,44.07734838,28.07722375
3,RPf_00018.png,235,50.22947691,43.85209105,37.53676109
4,RPf_00022.png,204,73.3656649,79.95145936,59.35242703
5,RPf_00025.png,76,84.38423555,87.99385564,71.37764507
6,RPf_00028.png,55,64.96979337,44.73969549,27.79698206
7,RPf_00065.png,718,27.26543763,28.64456514,30.47817908
8,RPf_00068.png,312,26.81694898,31.57458928,32.45745098
9,RPf_00102.png,444,35.83957189,22.94138083,21.8867863
