,image_name,simple_segment_id,segment_id,start_point_x,start_point_y,end_point_x,end_point_y,seg_number,seg_length,avg_color,avg_red,avg_green,avg_blue,angle_left,angle_right,f_center_x,f_center_y
0,00375,e0,5b1dc260-583e-4ec1-bfe7-72e98f6c5232,622,1317,662,1501,0,204,88,8,248,8,0.46853702581996703,0.945441895753544,1027,1032
1,00375,e1,610ea203-3ee6-4c39-acd8-2b2ada4aea25,662,1501,944,1624,1,351,87,8,247,7,0.945441895753544,0.32063386027678575,1027,1032
2,00375,e2,7183983e-bbb7-49a4-98b1-a33ff0048d39,944,1624,1010,1630,2,67,86,43,211,6,0.32063386027678575,0.7559493150312804,1027,1032
3,00375,e3,502f9c43-a600-457d-a976-531b0c976971,1010,1630,1075,1579,3,94,87,12,243,7,0.7559493150312804,0.5302360761084035,1027,1032
4,00375,e4,82fda033-f3f5-47a0-91a3-ace5f410b927,1075,1579,1101,1513,4,78,87,16,239,7,0.5302360761084035,0.5183979314019469,1027,1032
5,00375,e5,cf194aeb-193a-464b-a102-8e5e9f17be11,1101,1513,1152,1472,5,83,87,15,240,7,0.5183979314019469,0.5800481020412058,1027,1032
6,00375,e6,c98ae721-38aa-4c79-a252-65f5c29a0ae8,1152,1472,1164,1435,6,42,87,36,219,7,0.5800481020412058,0.8024563997572289,1027,1032
7,00375,e7,048c5169-5e67-4d47-a807-95c1cc7e8987,1164,1435,1209,1413,7,61,87,23,232,7,0.8024563997572289,0.4158382811961858,1027,1032
8,00375,e8,3add3f16-fd85-44ea-bb55-f5d20bafb316,1209,1413,1284,1324,8,131,87,10,245,7,0.4158382811961858,0.3347463180566912,1027,1032
9,00375,e9,bf001cc5-6bea-40ff-a5ca-92dd99de484c,1284,1324,1380,1267,9,132,87,10,245,7,0.3347463180566912,0.8665949316869028,1027,1032
10,00375,e10,401b8138-8d61-45d6-bfd1-eeaf58a72547,1380,1267,1397,1167,10,109,87,15,239,7,0.8665949316869028,0.6170080062499186,1027,1032
11,00375,e11,59f2cab1-3e5d-4f32-8752-5a37beec00e3,1397,1167,1481,1083,11,135,87,10,245,7,0.6170080062499186,0.3671738338182191,1027,1032
12,00375,e12,d5704dbc-df19-41e7-afec-b0c296a23491,1481,1083,1533,966,12,141,87,10,245,7,0.3671738338182191,1.23454047253972,1027,1032
13,00375,e13,8e057c6d-46f0-408d-ab2a-9d551d56b90f,1533,966,1433,872,13,147,87,9,246,7,1.23454047253972,0.9230518156096266,1027,1032
14,00375,e14,95d98438-edc4-4bc5-8457-3a96b79f383c,1433,872,1439,816,14,60,87,37,218,7,0.9230518156096266,0.992283142965011,1027,1032
15,00375,e15,7dbb3f8a-9efa-49e9-a3e5-0b3d48d94e34,1439,816,1488,791,15,56,87,20,235,7,0.992283142965011,1.6134701286731743,1027,1032
16,00375,e16,8d693b4c-5701-4886-bbda-a1378c848dc4,1488,791,1436,699,16,121,87,10,245,7,1.6134701286731743,0.9293722241217899,1027,1032
17,00375,e17,05d62319-cfb1-487d-9ff4-7ab873f318dd,1436,699,1389,693,17,52,87,49,206,6,0.9293722241217899,0.4610298139334885,1027,1032
18,00375,e18,8ab3ecf4-90f0-4983-9d60-588894d45b3e,1389,693,1347,665,18,58,87,19,236,7,0.4610298139334885,0.36254423726450735,1027,1032
19,00375,e19,bb1ca7d5-f2b7-42fd-a366-051f0c4e317e,1347,665,1307,609,19,69,87,14,241,7,0.36254423726450735,0.5738355118940115,1027,1032
20,00375,e20,2af463e3-2b9a-4475-9ab8-64c9409a8ae0,1307,609,1125,537,20,204,87,9,246,7,0.5738355118940115,0.550583889083549,1027,1032
21,00375,e21,0f07da0a-f7ea-49c3-a22d-90968452e429,1125,537,1104,509,21,37,87,29,226,7,0.550583889083549,0.7104216023352041,1027,1032
22,00375,e22,411a0d7d-5cb2-4e1c-a402-e7a8caf9601e,1104,509,927,470,22,200,87,10,245,7,0.7104216023352041,0.5355694501167418,1027,1032
23,00375,e23,4d138332-9d7a-4acd-acc3-e73bec35855f,927,470,880,426,23,70,87,14,241,7,0.5355694501167418,0.28879545678234386,1027,1032
24,00375,e24,6015bcde-c5b8-41ad-99f8-226043d245dd,880,426,812,392,24,97,87,14,241,7,0.28879545678234386,1.3751338674628448,1027,1032
25,00375,e25,a722d992-183d-4ebf-b2c0-c45c5a09b5a0,812,392,781,432,25,56,87,20,235,7,1.3751338674628448,0.5777917725364254,1027,1032
26,00375,e26,03c898fa-efd4-4bb1-ac80-72570e6407f2,781,432,756,738,26,317,87,9,246,7,0.5777917725364254,0.9612035825721046,1027,1032
27,00375,e27,5f67eb5c-879d-46b4-b539-da4397f24f75,756,738,744,745,27,17,85,144,110,3,0.9612035825721046,1.2327101662872526,1027,1032
28,00375,e28,6e1298a7-f740-44ed-806b-06d0f8aa2d01,744,745,754,797,28,53,87,36,219,7,1.2327101662872526,0.2994392370600796,1027,1032
29,00375,e29,aa488aa6-b248-4bba-8596-1361a0f290b9,754,797,744,888,29,104,87,21,234,7,0.2994392370600796,0.45013553271272944,1027,1032
30,00375,e30,6610d625-848b-4e29-acbc-51b512176c6d,744,888,687,979,30,118,87,11,244,7,0.45013553271272944,0.559586481854093,1027,1032
31,00375,e31,36ea9e47-8d89-4bcd-a001-1d306ec8bfdb,687,979,687,1049,31,71,87,39,216,6,0.559586481854093,0.42366892187751626,1027,1032
32,00375,e32,e7fbf965-e917-46b6-a347-c72b70b15397,687,1049,664,1100,32,61,87,20,235,7,0.42366892187751626,0.4917453801355154,1027,1032
33,00375,e33,a95c86d9-8580-4026-ba04-a01dce16237a,664,1100,667,1144,33,54,87,56,199,6,0.4917453801355154,0.3171311857675816,1027,1032
34,00375,e34,d217af62-e4aa-4c8d-bd05-10a737e9076f,667,1144,623,1317,34,212,87,11,244,7,0.3171311857675816,0.46853702581996703,1027,1032
